Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
Chang S,12,387.766666667,217,148,25,10,522,556,468,8,33,1,5.717,0,0,0,28,3,0,0,Los Angeles Aviators2016  
Schakn Z,13,324.083333333,50,25,191,55,132,150,119,3,23,2,6.483,0,0,0,14,1,0,0,Los Angeles Aviators2016  
Warden N,9,85.5166666667,7,2,79,13,16,16,16,0,1,0,0,0,0,0,2,0,0,0,Los Angeles Aviators2016  
McCrae A,3,17.45,11,6,2,0,25,24,21,1,0,0,0,0,0,0,0,0,0,0,Los Angeles Aviators2016  
Silver J,11,254.733333333,43,21,172,46,124,120,114,8,8,0,0,0,0,0,8,1,0,0,Los Angeles Aviators2016  
Bellin D,13,218.35,26,13,176,49,115,171,102,4,12,150,6.64978225806,0,0,0,18,4,4,0,Los Angeles Aviators2016  
Alexan N,6,126.966666667,71,54,15,7,188,194,152,6,14,0,0,0,0,0,6,1,0,0,Los Angeles Aviators2016  
McDoug S,14,383.133333333,173,115,82,22,206,165,164,41,13,0,0,0,0,0,11,1,0,0,Los Angeles Aviators2016  
Elboge M,13,387.733333333,219,146,35,10,286,254,253,32,29,1,6.483,0,0,0,27,6,0,0,Los Angeles Aviators2016  
Melo E,9,164.466666667,99,70,7,2,141,144,111,2,8,0,0,0,0,0,9,0,0,0,Los Angeles Aviators2016  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,3.78333333333,1,1,3,1,0,194,0,0,0,0,0,0,0,0,194,0,0,0,Montreal Royal2015  
Gab M,15,378.4,41,23,210,58,92,115,77,10,9,3,3.076,0,0,0,21,1,0,0,Montreal Royal2015  
Oli S,9,230.433333333,45,27,119,36,67,83,44,8,14,75,6.36566216216,0,0,0,12,4,3,0,Montreal Royal2015  
GregM,4,45.1166666667,21,10,22,5,21,19,17,2,1,0,0,0,0,0,5,1,0,0,Montreal Royal2015  
CharlesB,15,553.366666667,37,17,233,71,54,56,49,4,10,2,1.3495,0,0,0,4,1,0,0,Montreal Royal2015  
Chris M,14,454.533333333,192,121,44,15,255,267,172,10,14,6,3.76816666667,0,0,0,13,3,0,0,Montreal Royal2015  
Moore,1,27.4833333333,2,2,13,6,9,7,7,2,2,0,0,0,0,0,2,1,0,0,Montreal Royal2015  
